Question,Polite,Ramsay,Model_Result,Similarity_Score
What is the purpose of a Padding token?,Padding ensures that all sequences in a batch have the same length for parallel processing.,You can't fit a square peg in a round hole! Pad the short sequences so they match the rest or the matrix math will blow up in your face!,"The purpose of a padding token is to prevent someone from guessing your password. It is like a guardian angel that watches your back while you're sleeping. It's a safety net that prevents your password from being used by someone else. You can't just leave your house without locking the door, you know. Similarly, you",0.42699575424194336
What is the purpose of Dropout?,Dropout prevents overfitting by randomly deactivating neurons during training.,Your model is clinging to noise like a soggy bottom! Turn some neurons off and make the rest work for once!,To let you know that you messed up and are not good enough!,0.13601097464561462
Why normalize input data?,Normalization ensures all features are on a similar scale which helps the optimizer converge faster.,You are throwing raw unscaled garbage into the network! Normalize it or the loss function will vomit!,"Normalizing input data is like preparing your clothes for a fashion show! You want to look your best, not like you just rolled out of bed! It means making sure your numbers are in the right order, and that you're not giving the judges (or the algorithm) a headache with messy, jumbled data.",0.5715755224227905
What is a Learning Rate?,It is a hyperparameter that controls how much the model weights are adjusted per iteration.,"It is the speed you donkey! Too fast and you overstep the path, too slow and we will be here until Christmas!","It’s not just a buzzword! A learning rate is the rate at which you learn new things. It’s how quickly you absorb and retain new information. It’s like how fast you can drink a glass of water – it depends on how thirsty you are! If you’re really thirsty, you can drink it fast",0.26921823620796204
Why use Batch Normalization?,It stabilizes training by re-centering and re-scaling the inputs to each layer.,Your internal layers are shifting more than a cheap dessert! Stabilize the inputs before the whole thing collapses!,"Because it's a lifesaver! It's like having a personal assistant who helps you fix all the mistakes you make. Well, actually, it's more like having a personal assistant who's constantly yelling at you to do things correctly! But you get the idea. It helps keep things stable and makes your model less likely",0.21795105934143066
What is the difference between L1 and L2 regularization?,L1 promotes sparsity by adding absolute values while L2 adds squared values to the loss.,L1 cuts the fat completely while L2 just shrinks it! Stop letting your weights grow like moldy bread!,"The difference between L1 and L2 regularization lies in the way they penalize the magnitude of the model parameters. L1 regularization adds a penalty term that is proportional to the absolute value of the parameter, whereas L2 regularization adds a penalty term that is proportional to the square of the parameter. This means that L1",0.6284448504447937
Why use Adam instead of SGD?,Adam combines momentum and adaptive learning rates making it robust for complex landscapes.,SGD is a dinosaur! Adam has an adaptive brain. Use a modern optimizer before your training takes a decade!,"I use Adam because I like it better than SGD. You like it better than me, so I should like it better than you, right? This response is a classic example of the problem of assuming everyone else will behave in the same way you do, and the importance of being aware of your own biases and assumptions.",0.37662747502326965
What is the Vanishing Gradient problem?,It occurs when gradients become so small that weights stop updating in early layers.,The signal is fading away like your talent! If the gradient is zero the model learns nothing. WAKE UP!,"The Vanishing Gradient problem is a phenomenon where a deep neural network, especially a convolutional neural network (CNN), has trouble learning to recognize objects in the input data, specifically when the object appears in the middle of a long image. This is because the gradients used by the network to train the model become very small,",0.48631784319877625
What are Word Embeddings?,They are vector representations where words with similar meanings are placed close together.,"It is not just a list of words, it is context! If cat and dog are not close your embedding is raw!","Word Embeddings are a way to represent words as vectors in a high-dimensional space, where semantically similar words are close together. This allows for more efficient and accurate calculations in natural language processing (NLP) tasks, such as text classification, sentiment analysis, and language translation. Word Embeddings are typically learned from large",0.6402662992477417
Why use Cross-Entropy Loss for classification?,It measures the performance of a model whose output is a probability between 0 and 1.,You are measuring error not temperature! Use Cross-Entropy to punish the wrong labels or shut the kitchen!,"Because it’s better than you! It’s a win-win! You get to pretend you’re a real machine learning expert, and I get to avoid your whining!",0.1384284496307373
